"","names"
"1","Anser_caerulescens"
"2","Anser_rossii"
"3","Artemisiospiza_belli"
"4","Leiothlypis_celata"
"5","Leiothlypis_ruficapilla"
"6","Mareca_americana"
"7","Corthylio_calendula"
"8","Spatula_cyanoptera"
"9","Spatula_discors"
"10","Troglodytes_pacificus"
"11","Spatula_clypeata"
"12","Charadrius_nivosus"
"13","Circus_hudsonius"
"14","Dendragapus_fuliginosus"
"15","Dryobates_nuttallii"
"16","Dryobates_pubescens"
"17","Haemorhous_cassinii"
"18","Haemorhous_purpureus"
"19","Mareca_strepera"
"20","Nannopterum_auritum"
"21","Psiloscops_flammeolus"
"22","Calidris_virgata"
"23","Lanius_borealis"
"24","Haemorhous_mexicanus"
